SUBDIVISION,YEAR,ANNUAL,June-September,Just Calculations:,
Madhya Maharashtra,1901,769.1,601.4,Mode - ,
Madhya Maharashtra,1902,784,597.5,941.2,
Madhya Maharashtra,1903,837.9,665.9,738.3,
Madhya Maharashtra,1904,603.6,543,1061.8,
Madhya Maharashtra,1905,537.7,449.4,Highest Value - ,
Madhya Maharashtra,1906,744.3,677.9,1395.6,
Madhya Maharashtra,1907,815.1,742.2,1198.1,
Madhya Maharashtra,1908,722,684.6,1606.3,
Madhya Maharashtra,1909,755.2,674.4,,
Madhya Maharashtra,1910,915.2,800.9,,
Madhya Maharashtra,1911,544.5,457.7,,
Madhya Maharashtra,1912,764.9,580.6,,
Madhya Maharashtra,1913,732.5,640.1,,
Madhya Maharashtra,1914,1038.9,953,,
Madhya Maharashtra,1915,907.9,729.1,,
Madhya Maharashtra,1916,1072.5,805.8,,
Madhya Maharashtra,1917,938.2,687.1,,
Madhya Maharashtra,1918,438.2,287.6,,
Madhya Maharashtra,1919,878.9,757.9,,
Madhya Maharashtra,1920,600.3,514.5,,
Madhya Maharashtra,1921,734.3,651.1,,
Madhya Maharashtra,1922,805.1,556.4,,
Madhya Maharashtra,1923,680.9,616.7,,
Madhya Maharashtra,1924,748.3,660.5,,
Madhya Maharashtra,1925,661.7,539.6,,
Madhya Maharashtra,1926,787.2,722.2,,
Madhya Maharashtra,1927,925,772.6,,
Madhya Maharashtra,1928,831.7,729.6,,
Madhya Maharashtra,1929,690.4,549.4,,
Madhya Maharashtra,1930,929.1,765.3,,
Madhya Maharashtra,1931,1132.3,838.4,,
Madhya Maharashtra,1932,1045,803.1,,
Madhya Maharashtra,1933,1152.4,922.5,,
Madhya Maharashtra,1934,858.4,714.3,,
Madhya Maharashtra,1935,819,680.4,,
Madhya Maharashtra,1936,735.5,550.9,,
Madhya Maharashtra,1937,914.4,749.6,,
Madhya Maharashtra,1938,1126.3,887.4,,
Madhya Maharashtra,1939,821.7,739.9,,
Madhya Maharashtra,1940,893.3,727.9,,
Madhya Maharashtra,1941,774.3,681.7,,
Madhya Maharashtra,1942,941.2,863.4,,
Madhya Maharashtra,1943,993.1,714,,
Madhya Maharashtra,1944,1086,923.8,,
Madhya Maharashtra,1945,793.3,730.7,,
Madhya Maharashtra,1946,1103.6,853.1,,
Madhya Maharashtra,1947,905.6,782.6,,
Madhya Maharashtra,1948,1016.2,774,,
Madhya Maharashtra,1949,953.5,800.4,,
Madhya Maharashtra,1950,932.5,811.4,,
Madhya Maharashtra,1951,796.7,608.3,,
Madhya Maharashtra,1952,683.4,596.2,,
Madhya Maharashtra,1953,893.7,749.8,,
Madhya Maharashtra,1954,985,898.5,,
Madhya Maharashtra,1955,981.1,763.7,,
Madhya Maharashtra,1956,1233.8,889.3,,
Madhya Maharashtra,1957,849.8,675.1,,
Madhya Maharashtra,1958,1054.1,903.9,,
Madhya Maharashtra,1959,1118.9,920.7,,
Madhya Maharashtra,1960,885.9,748.4,,
Madhya Maharashtra,1961,1070.6,815.2,,
Madhya Maharashtra,1962,899,698.2,,
Madhya Maharashtra,1963,899.9,732.3,,
Madhya Maharashtra,1964,945.6,844.1,,
Madhya Maharashtra,1965,790.6,718.7,,
Madhya Maharashtra,1966,837.5,641.8,,
Madhya Maharashtra,1967,913.2,783.5,,
Madhya Maharashtra,1968,824,719.7,,
Madhya Maharashtra,1969,984.2,929.5,,
Madhya Maharashtra,1970,941.2,811.7,,
Madhya Maharashtra,1971,773.3,670.1,,
Madhya Maharashtra,1972,519.9,472.9,,
Madhya Maharashtra,1973,980.6,853.4,,
Madhya Maharashtra,1974,911.8,681.6,,
Madhya Maharashtra,1975,1040.7,859.6,,
Madhya Maharashtra,1976,1025.9,927.7,,
Madhya Maharashtra,1977,947.1,716.5,,
Madhya Maharashtra,1978,883.7,689.7,,
Madhya Maharashtra,1979,1026.7,873.1,,
Madhya Maharashtra,1980,939.5,852.4,,
Madhya Maharashtra,1981,929.8,827.1,,
Madhya Maharashtra,1982,752,608.4,,
Madhya Maharashtra,1983,918.6,865.8,,
Madhya Maharashtra,1984,779.8,643.6,,
Madhya Maharashtra,1985,656,516.8,,
Madhya Maharashtra,1986,644.3,585.8,,
Madhya Maharashtra,1987,807.5,587.4,,
Madhya Maharashtra,1988,976.5,915.6,,
Madhya Maharashtra,1989,816.5,759.1,,
Madhya Maharashtra,1990,1022.5,767.3,,
Madhya Maharashtra,1991,880.7,823.1,,
Madhya Maharashtra,1992,791.1,718.2,,
Madhya Maharashtra,1993,1019.9,761.8,,
Madhya Maharashtra,1994,1021.6,893.4,,
Madhya Maharashtra,1995,776.4,593.7,,
Madhya Maharashtra,1996,975.3,788.8,,
Madhya Maharashtra,1997,1000.9,807.3,,
Madhya Maharashtra,1998,1101.1,894.8,,
Madhya Maharashtra,1999,965.8,742.2,,
Madhya Maharashtra,2000,701.5,618.3,,
Madhya Maharashtra,2001,784.9,635.4,,
Madhya Maharashtra,2002,740.2,664.8,,
Madhya Maharashtra,2003,772.5,714.1,,
Madhya Maharashtra,2004,1029.5,925.4,,
Madhya Maharashtra,2005,1221.4,1134.2,,
Madhya Maharashtra,2006,1395.6,1260.4,,
Madhya Maharashtra,2007,1040.4,1023.8,,
Madhya Maharashtra,2008,916.8,835.8,,
Madhya Maharashtra,2009,941.9,709.5,,
Madhya Maharashtra,2010,1027.6,865.3,,
Madhya Maharashtra,2011,852.5,781.2,,
Madhya Maharashtra,2012,690,588.2,,
Madhya Maharashtra,2013,962.5,881.5,,
Madhya Maharashtra,2014,838,682.6,,
Madhya Maharashtra,2015,644.5,502.5,,
Madhya Maharashtra,2016,906.2,824.9,,
Madhya Maharashtra,2017,994.3,852.2,,
Matathwada,1901,908.8,701,,
Matathwada,1902,744.1,531.8,,
Matathwada,1903,1032.7,823.8,,
Matathwada,1904,690.6,593.9,,
Matathwada,1905,505.8,474.8,,
Matathwada,1906,770.7,714.5,,
Matathwada,1907,557.9,479.2,,
Matathwada,1908,682.5,663.8,,
Matathwada,1909,892.8,808.8,,
Matathwada,1910,1134.2,1025.2,,
Matathwada,1911,612.4,561,,
Matathwada,1912,488.4,420.7,,
Matathwada,1913,656.7,562.7,,
Matathwada,1914,989.1,884.2,,
Matathwada,1915,1001.6,749.8,,
Matathwada,1916,1177.9,969.3,,
Matathwada,1917,1168.2,929.4,,
Matathwada,1918,486,327.9,,
Matathwada,1919,662.8,582.9,,
Matathwada,1920,361,324.7,,
Matathwada,1921,562.4,509.4,,
Matathwada,1922,835.9,585.6,,
Matathwada,1923,764.9,693,,
Matathwada,1924,662.7,560.5,,
Matathwada,1925,604.9,461.6,,
Matathwada,1926,715.5,613,,
Matathwada,1927,744.6,559.2,,
Matathwada,1928,825.6,725.3,,
Matathwada,1929,609.4,497.7,,
Matathwada,1930,640.3,538.5,,
Matathwada,1931,1088.7,814.5,,
Matathwada,1932,844.2,711,,
Matathwada,1933,1122.9,942.5,,
Matathwada,1934,876.6,761.1,,
Matathwada,1935,922,808.6,,
Matathwada,1936,727.7,494.1,,
Matathwada,1937,738.3,541.7,,
Matathwada,1938,1072.7,916,,
Matathwada,1939,580.2,524.2,,
Matathwada,1940,855.6,734.2,,
Matathwada,1941,540.9,506.1,,
Matathwada,1942,1003,884.5,,
Matathwada,1943,852.4,638.4,,
Matathwada,1944,758.9,598.8,,
Matathwada,1945,622.2,586.1,,
Matathwada,1946,848.7,672.6,,
Matathwada,1947,855,759.5,,
Matathwada,1948,946.4,729.8,,
Matathwada,1949,914.2,837.3,,
Matathwada,1950,657.5,593.6,,
Matathwada,1951,731.4,621.1,,
Matathwada,1952,546,463.3,,
Matathwada,1953,891.2,786.9,,
Matathwada,1954,899.7,851.4,,
Matathwada,1955,1151.3,1016.3,,
Matathwada,1956,1037.3,801.2,,
Matathwada,1957,900.6,781.3,,
Matathwada,1958,1024.4,892.5,,
Matathwada,1959,950.3,808.2,,
Matathwada,1960,738.3,573.8,,
Matathwada,1961,959,664.9,,
Matathwada,1962,945.7,728.9,,
Matathwada,1963,1001.1,863.8,,
Matathwada,1964,780.6,737.4,,
Matathwada,1965,631.3,597.4,,
Matathwada,1966,747.2,569.2,,
Matathwada,1967,759.8,610.1,,
Matathwada,1968,712.3,587.4,,
Matathwada,1969,824.6,768.8,,
Matathwada,1970,910.8,842,,
Matathwada,1971,607.9,459,,
Matathwada,1972,347.1,307.6,,
Matathwada,1973,871.3,765.9,,
Matathwada,1974,650.5,476.7,,
Matathwada,1975,1050.8,907.8,,
Matathwada,1976,623,563.7,,
Matathwada,1977,767.8,547.5,,
Matathwada,1978,784.8,613.3,,
Matathwada,1979,807.4,658,,
Matathwada,1980,812.8,776.1,,
Matathwada,1981,786.7,635.2,,
Matathwada,1982,636.5,526.5,,
Matathwada,1983,1187.7,1066.4,,
Matathwada,1984,552.8,424.1,,
Matathwada,1985,575.5,455.9,,
Matathwada,1986,562.9,503.6,,
Matathwada,1987,786.2,553.4,,
Matathwada,1988,1169.9,1128.6,,
Matathwada,1989,1068.4,989.8,,
Matathwada,1990,1198.1,822.1,,
Matathwada,1991,601,560.7,,
Matathwada,1992,726.6,640.7,,
Matathwada,1993,806.4,591.8,,
Matathwada,1994,583.6,453.9,,
Matathwada,1995,809.5,555.4,,
Matathwada,1996,854.9,718.6,,
Matathwada,1997,790.4,491.3,,
Matathwada,1998,1126.7,930.6,,
Matathwada,1999,767.5,623.6,,
Matathwada,2000,684.5,629.9,,
Matathwada,2001,732.4,544.7,,
Matathwada,2002,722.1,646,,
Matathwada,2003,720,653.1,,
Matathwada,2004,678.6,553.9,,
Matathwada,2005,940.5,810.8,,
Matathwada,2006,872.9,761.6,,
Matathwada,2007,714.6,695.4,,
Matathwada,2008,646.3,591.8,,
Matathwada,2009,668.9,529.8,,
Matathwada,2010,1011.7,897.9,,
Matathwada,2011,663.7,627.8,,
Matathwada,2012,526.7,454.7,,
Matathwada,2013,887.9,745.3,,
Matathwada,2014,548.9,398.8,,
Matathwada,2015,532.1,412.2,,
Matathwada,2016,949.1,824.9,,
Matathwada,2017,755.6,642.1,,
Vidarbha,1901,1093.4,917.2,,
Vidarbha,1902,749,664.3,,
Vidarbha,1903,1229.4,1077,,
Vidarbha,1904,753.1,655.9,,
Vidarbha,1905,941.9,873.1,,
Vidarbha,1906,1191.3,1117.6,,
Vidarbha,1907,1010.7,883.4,,
Vidarbha,1908,1243.5,1191.5,,
Vidarbha,1909,1061.8,898.4,,
Vidarbha,1910,1294.1,1165.5,,
Vidarbha,1911,982.7,892.3,,
Vidarbha,1912,1014,927.6,,
Vidarbha,1913,1052.6,959.6,,
Vidarbha,1914,1199,1092.9,,
Vidarbha,1915,1199.7,926,,
Vidarbha,1916,1362.2,1161.6,,
Vidarbha,1917,1396.8,1113.8,,
Vidarbha,1918,801.5,676.3,,
Vidarbha,1919,1212.6,959.3,,
Vidarbha,1920,578.3,534.6,,
Vidarbha,1921,1085.7,1051.2,,
Vidarbha,1922,1109.9,979.6,,
Vidarbha,1923,941.3,885.5,,
Vidarbha,1924,994.2,790,,
Vidarbha,1925,941.2,808.8,,
Vidarbha,1926,1071.3,892.3,,
Vidarbha,1927,1167.4,1012.7,,
Vidarbha,1928,1017.3,839.3,,
Vidarbha,1929,912.5,784.9,,
Vidarbha,1930,983.1,861.8,,
Vidarbha,1931,1404.1,1107.5,,
Vidarbha,1932,1130.6,1041.3,,
Vidarbha,1933,1502.2,1265.4,,
Vidarbha,1934,1218.3,1149.5,,
Vidarbha,1935,1158,1095.1,,
Vidarbha,1936,1451,1159.9,,
Vidarbha,1937,1319.2,1015,,
Vidarbha,1938,1460.9,1275.3,,
Vidarbha,1939,881.8,792.2,,
Vidarbha,1940,1357.5,1205.9,,
Vidarbha,1941,829,776.3,,
Vidarbha,1942,1341.6,1213.4,,
Vidarbha,1943,1018.2,843.7,,
Vidarbha,1944,1367.7,1150.8,,
Vidarbha,1945,1199.6,1125.5,,
Vidarbha,1946,1173,1013.7,,
Vidarbha,1947,1168.2,1031.7,,
Vidarbha,1948,1182.7,968.1,,
Vidarbha,1949,1398.3,1225.3,,
Vidarbha,1950,793.7,719.6,,
Vidarbha,1951,1082.2,927.3,,
Vidarbha,1952,807.8,745.6,,
Vidarbha,1953,1137.8,1060.5,,
Vidarbha,1954,1100.4,1077.4,,
Vidarbha,1955,1368.7,1169.5,,
Vidarbha,1956,1124.6,980.6,,
Vidarbha,1957,1071,939.9,,
Vidarbha,1958,1172.1,1018.5,,
Vidarbha,1959,1606.3,1493.1,,
Vidarbha,1960,1065.1,888.4,,
Vidarbha,1961,1440.7,1253.1,,
Vidarbha,1962,1152.6,965.9,,
Vidarbha,1963,1147.7,1007.9,,
Vidarbha,1964,1010.8,960.2,,
Vidarbha,1965,743.6,696.2,,
Vidarbha,1966,1002.8,870.2,,
Vidarbha,1967,1128.2,937.8,,
Vidarbha,1968,922.9,799.7,,
Vidarbha,1969,992.9,951.1,,
Vidarbha,1970,1240.5,1174,,
Vidarbha,1971,882.3,696.6,,
Vidarbha,1972,740.9,679,,
Vidarbha,1973,1162.5,986.4,,
Vidarbha,1974,840.8,653.7,,
Vidarbha,1975,1324,1190.5,,
Vidarbha,1976,974.8,912.2,,
Vidarbha,1977,1068,926.1,,
Vidarbha,1978,1249.4,1103.5,,
Vidarbha,1979,1087.3,930.3,,
Vidarbha,1980,1042.5,993.1,,
Vidarbha,1981,1218.6,1122.7,,
Vidarbha,1982,856.1,708,,
Vidarbha,1983,1240.5,1150.8,,
Vidarbha,1984,810.6,683.9,,
Vidarbha,1985,876.9,712.3,,
Vidarbha,1986,1157.1,1029.6,,
Vidarbha,1987,822.6,643.1,,
Vidarbha,1988,1308.6,1188.5,,
Vidarbha,1989,997.8,925.2,,
Vidarbha,1990,1504.8,1258.3,,
Vidarbha,1991,838.7,795.3,,
Vidarbha,1992,1148.8,1090.8,,
Vidarbha,1993,1023.1,904.7,,
Vidarbha,1994,1427.1,1305.5,,
Vidarbha,1995,1077.5,859.1,,
Vidarbha,1996,854.9,741.3,,
Vidarbha,1997,1039.3,767.9,,
Vidarbha,1998,1061.8,883.1,,
Vidarbha,1999,1165,1004.9,,
Vidarbha,2000,1105.2,1048.2,,
Vidarbha,2001,1122.1,937.8,,
Vidarbha,2002,926.1,870.3,,
Vidarbha,2003,1018.5,960.1,,
Vidarbha,2004,731.9,665,,
Vidarbha,2005,1214.6,1033.6,,
Vidarbha,2006,1215.5,1073,,
Vidarbha,2007,1167,1130,,
Vidarbha,2008,866.6,814.2,,
Vidarbha,2009,770.8,654.6,,
Vidarbha,2010,1338.1,1221.3,,
Vidarbha,2011,893.1,878.8,,
Vidarbha,2012,1107.8,1061.6,,
Vidarbha,2013,1520.2,1360,,
Vidarbha,2014,919,817.5,,
Vidarbha,2015,993.6,848.2,,
Vidarbha,2016,1163.8,1045.3,,
Vidarbha,2017,803,731.6,,


,,,,,CREDITS: KAGGLE- SAI SARAN - Data files Â© Original Authors - Link: https://www.kaggle.com/datasets/saisaran2/rainfall-data-from-1901-to-2017-for-india
